media_name,url,image_path,timestamp,country,factuality,trustworthiness
100% Fed up,https://100percentfedup.com,output/100_Fed_up.png,2026-06-03 17:40:49,USA,LOW,0
100 Mile Free Press,https://100milefreepress.net,output/100_Mile_Free_Press.png,2026-06-03 17:39:43,,HIGH,1
247Sports,https://247sports.com,output/247Sports.png,2026-06-03 17:40:33,,HIGH,1
350.org,https://350.org,output/350.org.png,2026-06-03 17:41:20,USA,HIGH,1
350Africa.org,https://350africa.org,output/350Africa.org.png,2026-06-03 17:41:24,USA,HIGH,1
350 Aotearoa,https://350.org.nz,output/350_Aotearoa.png,2026-06-03 17:40:03,USA,HIGH,1
350 Asia,https://350asia.org,output/350_Asia.png,2026-06-03 17:40:57,USA,HIGH,1
350 Australia,https://350.org.au,output/350_Australia.png,2026-06-03 17:41:12,USA,HIGH,1
350 Pilipinas,https://world.350.org/philippines/,output/350_Pilipinas.png,2026-06-03 17:40:59,USA,HIGH,1
972 Magazine,https://972mag.com,output/972_Magazine.png,2026-06-03 17:42:24,,HIGH,1
9 News,https://www.9news.com.au/,output/9_News.png,2026-06-03 17:41:34,,HIGH,1
ABC11 Eyewitness News,https://abc11.com,output/ABC11_Eyewitness_News.png,2026-06-03 17:42:40,USA,HIGH,1
ABC News Australia,https://abc.net.au,output/ABC_News_Australia.png,2026-06-03 17:41:58,,HIGH,1
ABC News/Washington Post Polling,https://langerresearch.com,output/ABC_News_Washington_Post_Polling.png,2026-06-03 17:41:47,,VERY HIGH,1
ABS-CBN,https://news.abs-cbn.com,output/ABS-CBN.png,2026-06-03 17:42:04,,HIGH,1
ABT Associates,https://abtassociates.com,output/ABT_Associates.png,2026-06-03 17:43:09,,HIGH,1
APM Reports,https://apmreports.org,output/APM_Reports.png,2026-06-03 17:42:22,USA,HIGH,1
APTN National News,https://aptnnews.ca,output/APTN_National_News.png,2026-06-03 17:43:01,,HIGH,1
AV Club,https://avclub.com,output/AV_Club.png,2026-06-03 17:43:08,USA,HIGH,1
A Voice for Men,https://avoiceformen.com,output/A_Voice_for_Men.png,2026-06-03 17:42:03,USA,LOW,0
Aberdeen American News,https://aberdeennews.com,output/Aberdeen_American_News.png,2026-06-03 17:43:56,USA,HIGH,1
Abilene Reporter-News,https://reporternews.com,output/Abilene_Reporter-News.png,2026-06-03 17:44:25,USA,HIGH,1
Ad Fontes Media,https://adfontesmedia.com,output/Ad_Fontes_Media.png,2026-06-03 17:44:20,USA,HIGH,1
Adams.News,https://adams.news,output/Adams.News.png,2026-06-03 17:43:50,USA,VERY LOW,0
Addiction.News,https://addiction.news,output/Addiction.News.png,2026-06-03 17:44:00,USA,VERY LOW,0
Adweek,https://adweek.com,output/Adweek.png,2026-06-03 22:16:04,USA,HIGH,1
Aeon,https://aeon.co,output/Aeon.png,2026-06-03 17:44:29,,HIGH,1
